<<<<<<< HEAD
GEO.id,GEO.id2,GEO.display-label,YEAR.id,SCHEXPCS_PP,SCHEXPCSFSW_PP,SCHEXPCSFEB_PP,SCHEXPCSIT_PP,SCHEXPCSISW_PP,SCHEXPCSIEB_PP,SCHEXPCSST_PP,SCHEXPCSSPS_PP,SCHEXPCSSIS_PP,SCHEXPCSSGA_PP,SCHEXPCSSSA_PP
Geographic identifier code,Id2,Geographic area name,Year,Current Spending - Total per pupil ($) [1],Current Spending - Salaries and wages per pupil ($),Current Spending - Employee benefits per pupil ($),Current Spending - Instruction - Total per pupil ($) [1],Current Spending - Instruction - Salaries and wages per pupil ($),Current Spending - Instruction - Employee benefits per pupil ($),Current Spending - Support Services - Total per pupil ($) [1],Current Spending - Support Services - Pupil Support per pupil ($),Current Spending - Support Services - Instructional staff support per pupil ($),Current Spending - Support Services - General administration per pupil ($),Current Spending - Support Services - School administration per pupil ($)
0100000US,,United States,2015,11392,6640,2676,6903,4472,1795,4007,651,540,218,626
0400000US01,1,Alabama,2015,9128,5139,2073,5191,3354,1284,3286,548,391,245,568
0400000US02,2,Alaska,2015,20172,8245,7765,11354,5295,5094,8174,1638,1396,276,1282
0400000US04,4,Arizona,2015,7489,4467,1413,4016,2780,868,3048,593,409,106,355
0400000US05,5,Arkansas,2015,9694,5717,1630,5455,3646,1039,3695,510,821,226,506
0400000US06,6,California,2015,10467,6203,2401,6255,4019,1489,3774,574,613,100,682
0400000US08,8,Colorado,2015,9245,5827,1614,5240,3657,1019,3635,467,569,151,654
0400000US09,9,Connecticut,2015,18377,10265,5128,11341,7203,3547,6399,1203,580,420,1090
0400000US10,10,Delaware,2015,14120,7699,3814,8718,5409,2721,4793,602,265,152,904
0400000US11,11,District of Columbia,2015,19396,13497,2486,10400,9112,1688,8230,774,1443,2170,1397
0400000US12,12,Florida,2015,8881,5046,1561,5442,3210,957,2984,388,572,80,490
0400000US13,13,Georgia,2015,9427,5703,2031,5765,3864,1442,3099,447,490,117,578
0400000US15,15,Hawaii,2015,12855,7178,2803,7554,4903,1857,4583,1239,446,70,871
0400000US16,16,Idaho,2015,6923,4139,1495,4125,2848,1009,2419,389,328,152,398
0400000US17,17,Illinois,2015,13755,7130,4228,8331,4858,2853,5022,941,537,536,701
0400000US18,18,Indiana,2015,9687,5337,2889,5510,3513,1837,3697,471,374,195,580
0400000US19,19,Iowa,2015,10944,6936,2309,6697,4666,1542,3784,631,579,280,621
0400000US20,20,Kansas,2015,10040,5911,1831,6137,3927,1206,3407,520,401,241,584
0400000US21,21,Kentucky,2015,9630,5858,2355,5531,3786,1459,3511,456,545,249,561
0400000US22,22,Louisiana,2015,11010,5924,3046,6204,3810,1921,4197,680,582,286,651
0400000US23,23,Maine,2015,13257,7853,3345,7619,5214,2268,5167,936,681,481,757
0400000US24,24,Maryland,2015,14192,8377,3754,8793,5646,2569,4986,669,749,135,967
0400000US25,25,Massachusetts,2015,15592,9585,3695,9614,6557,2676,5505,1233,889,212,697
